Name	Banner Link	icon link	link	Is On SteamRevolver?	Is it Buzzheather or google drive or both	Is It Working?	Straight download link	new?
FInal Fantacy VII	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/680a8d55cea7984805c47e807c854f84.png	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/ce7ca56117e9f119f22c9a5f414b16a1.png	https://drive.google.com/file/d/1c_QIbSChlP0To7ne5MgwM07XFzQe_Oqc/view?usp=sharing	Yes	google drive	Testing		Yes
Grand Theft Auto SanAndreas	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/3c184dcd417be3257ecc68d4c195b463.png	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/b5b41fac0361d157d9673ecb926af5ae.png	https://drive.google.com/file/d/17x24ndEtDz4xNzqztVeShEb0_bBccIof/view?usp=sharing	Yes	google drive	Testing		Yes
Call of Duty: Black Ops 6	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/two-banners-for-black-ops-6-including-the-partially-v0-3j4pddvln62d1.jpg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/527b834d3861cac582129f0e8e8ccc71.png	https://drive.google.com/file/d/1PPfvj4uH635U0cQktQ18kFy4fjhBSBLg/view?usp=drive_link	Yes	google drive	Yes		Yes
Gears Of War R	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/e2ef524fbf3d9fe611d5a8e90fefdc9c.jpg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/Gears-of-War-Logo.png	https://drive.google.com/file/d/1hP0xv4MnZ0hgyEtRn3ABA7goZRlbFOAK/view?usp=sharing	Yes	google drive	Yes		Yes
Jackal	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/jackal.jpg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/AAAAHHHHHHAAAAAAAAAAAAAAA.jpg	https://drive.google.com/file/d/1F9eBWNUcSKmK1R0SxoXCaD_1jTz3LMWR/view?usp=sharing	Yes	google drive	Yes		Yes
Legend of zelda breath of the wild	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/71d1c0c06e1ab5049644acb5cc69a090.jpg	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/dc19a6x-07553d55-d4f7-4999-a367-26f7138627ed.png	https://drive.google.com/file/d/1kHKBGCveftwWtXQIQJCIAqki-n1X5c5p/view?usp=sharing	Yes	google drive	Yes		
kill it with fire	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/images%20(18).jpg	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/5d3aeb49a619b6d76f91335429f81395.jpg	https://drive.google.com/file/d/1cfP6F3DnYAe3ehWdQiLFtAktnO5rna6t/view?usp=sharing	Yes	google drive	Yes		
MC Legacy Edition	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/i-was-missing-legacy-edition-so-started-up-a-world-to-v0-xryatuyd2j3c1.jpg	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/zxlq67gbthtc1.png	https://sites.google.com/view/steamrevolver/steamrevolvers/mc-legacy-eddition	Yes	google drive	Yes		Yes
Pokemon Black	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/images%20(17).jpg	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/8d65294979cf7c59fa43f91f993fb5c2.png	https://drive.google.com/drive/folders/1L--YhnBUKFc47oZIEFdMmYqssIByDUFx?usp=sharing	Yes	google drive	Yes		
Resident Evil HD remaster	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/images%20(19).jpg	https://raw.githubusercontent.com/gibrilphil/CampusGamesDataBase/refs/heads/main/256x256.png	https://drive.google.com/file/d/1CW4X8OJtyaQDTxXUIL6cI1xScwSqjLHg/view?usp=sharing	Yes	google drive	Yes		
Resident Evil 2 HD	https://github.com/BrickPlex/SteamRevolverDB/blob/main/images%20(20).jpg?raw=true	https://github.com/BrickPlex/SteamRevolverDB/blob/main/fb5b3b5d234aa718062e3b4f6c826e23.png?raw=true	https://drive.google.com/file/d/1-7BjvEnyz_yZP1NK16FsU1y6w44HF4VH/view?usp=sharing	Yes	google drive	Yes		
Resident Evil 3 HD	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/images%20(21).jpg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/313d7aa0d439e23c2b1f2643853f50b3.ico	https://drive.google.com/file/d/1KA-RHTHY77jWLw0KkVMPDasL27A-tvaT/view?usp=sharing	Yes	google drive	Yes		
